City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,meadow lake,34.8014,-106.5436,6.74,32,100,1.13,US,1702343150
116,port douglas,-16.4833,145.4667,30.18,63,97,3.58,AU,1702343151
117,huarmey,-10.0681,-78.1522,20.41,85,11,3.39,PE,1702343151
118,kharan,28.5833,65.4167,12.7,28,79,3.68,PK,1702343152
119,mananjary,-21.2167,48.3333,24.22,91,52,2.1,MG,1702343152
120,terbanggi besar,-4.8667,105.2333,27.03,78,60,4.48,ID,1702343153
121,bosaso,11.2842,49.1816,23.95,72,10,1.96,SO,1702343135
122,saipan,15.1355,145.701,30.39,74,20,7.72,MP,1702343154
123,san pedro,14.35,121.0167,29.64,76,20,2.68,PH,1702343154
124,keflavik,64.0049,-22.5624,-2.76,86,20,3.6,IS,1702343141
125,qaqortoq,60.7167,-46.0333,-0.52,97,100,3.4,GL,1702343018
126,daoukro,7.0591,-3.9631,23.33,84,7,1.14,CI,1702343155
127,cole harbour,44.6724,-63.4751,10.66,95,100,3.13,CA,1702343105
128,calvi,42.5,8.8333,16.35,55,0,9.26,FR,1702343156
129,nenjiang,49.1833,125.2167,-28.67,89,6,0.76,CN,1702343157
130,quatre cocos,-20.2078,57.7625,25.06,71,86,4.81,MU,1702343158
131,burutu,5.3509,5.5076,26.78,80,94,2.14,NG,1702343158
132,sandnessjoen,66.0217,12.6316,-13.71,78,3,6.62,NO,1702343159
133,dahab,28.501,34.5134,21.4,29,0,3.5,EG,1702343159
134,hawaiian paradise park,19.5933,-154.9731,26.13,87,100,1.54,US,1702343159
135,berezovyy,51.6667,135.7,-23.36,65,0,2.12,RU,1702343098
136,puerto natales,-51.7236,-72.4875,6.75,85,89,2.65,CL,1702343160
137,seven pagodas,12.6264,80.1722,24.03,76,56,4.5,IN,1702343161
138,talnakh,69.4865,88.3972,-26.2,98,100,4.71,RU,1702343153
139,tura,25.5198,90.2201,14.81,92,2,1.31,IN,1702343142
140,palafrugell,41.9174,3.1631,13.57,70,100,2.13,ES,1702343161
141,arteche,12.2645,125.4048,27.13,87,25,3.15,PH,1702343154
